,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_stim_weight_subj.176326342,0.000697561,0.006157611,-0.011144662,-0.00338101,0.000530521,0.004658703,0.013062713,8.71E-05
v_stim_weight_subj.189660560,-0.005646229,0.00573703,-0.017523577,-0.009327746,-0.005321329,-0.001852605,0.005084386,0.000135421
v_stim_weight_subj.192065971,-0.000598131,0.005668836,-0.011987297,-0.004196625,-0.000565909,0.003202505,0.010613014,9.16E-05
v_stim_weight_subj.218675715,-0.000724109,0.004785729,-0.010384311,-0.004027651,-0.000708737,0.002466217,0.00859162,9.27E-05
v_stim_weight_subj.224184422,-0.001650359,0.005143903,-0.011823774,-0.005004997,-0.001666224,0.0017644,0.008336701,6.52E-05
v_stim_weight_subj.224557592,0.00270491,0.005219927,-0.007187922,-0.000875966,0.002603436,0.00605383,0.0132837,9.19E-05
v_stim_weight_subj.245315813,0.002296988,0.004911044,-0.007045474,-0.001060689,0.002183454,0.005558839,0.012199147,8.05E-05
v_stim_weight_subj.251264572,-0.003196336,0.005894498,-0.015126823,-0.006926901,-0.002952423,0.000669674,0.008021998,9.25E-05
v_stim_weight_subj.251653297,-0.00137781,0.006256003,-0.013763925,-0.005301865,-0.001419446,0.002696655,0.010918035,0.000113033
v_stim_weight_subj.252234006,0.001862743,0.006059952,-0.009526027,-0.002251637,0.001718718,0.005701307,0.014291133,0.000109137
v_stim_weight_subj.254632445,-0.000457039,0.006193388,-0.012733458,-0.004485112,-0.000508507,0.003539342,0.012158061,0.000106244
v_stim_weight_subj.278773301,-0.007445773,0.005613132,-0.01910368,-0.011104427,-0.007067901,-0.003597631,0.002713809,0.000138394
v_stim_weight_subj.294041592,-0.001167819,0.004512596,-0.010146289,-0.004131545,-0.001263453,0.001761768,0.007863646,8.59E-05
v_stim_weight_subj.299760590,0.006998243,0.005446809,-0.003293771,0.003296841,0.00677541,0.010652825,0.018254016,0.000140231
v_stim_weight_subj.312902548,-0.002028933,0.005522608,-0.012970386,-0.005494031,-0.001940491,0.001522019,0.008793397,7.71E-05
v_stim_weight_subj.321769333,-0.002517076,0.005370685,-0.013407686,-0.005935001,-0.002365808,0.000978553,0.007959261,7.97E-05
v_stim_weight_subj.324908376,-0.008615568,0.005973974,-0.020794454,-0.012535947,-0.008315523,-0.004444081,0.001966393,0.000164102
v_stim_weight_subj.331590088,-0.002632412,0.00548305,-0.013823209,-0.006208539,-0.002489545,0.001033575,0.007902797,0.000100451
v_stim_weight_subj.333010087,-0.006957841,0.006339109,-0.019993604,-0.011039958,-0.006801237,-0.002577412,0.004936516,0.000142987
v_stim_weight_subj.334324861,-0.001799132,0.006301108,-0.014653269,-0.005832112,-0.001672415,0.002370296,0.010732413,0.000110412
v_stim_weight_subj.336172395,4.78E-05,0.006539218,-0.013015127,-0.004134714,1.78E-05,0.004195978,0.013261201,0.000102812
v_stim_weight_subj.349171132,0.000855668,0.006274147,-0.011481756,-0.003210011,0.000772907,0.004858999,0.013703381,0.000101474
v_stim_weight_subj.350745134,0.002912926,0.005455607,-0.007329369,-0.00085826,0.002757145,0.006507979,0.01402418,9.59E-05
v_stim_weight_subj.351777009,-0.000684036,0.006314561,-0.013316414,-0.004730727,-0.000696532,0.003368198,0.01221248,0.000112476
v_stim_weight_subj.355043712,0.002640843,0.005292374,-0.007587975,-0.000883194,0.002527532,0.006048345,0.013512271,9.25E-05
v_stim_weight_subj.367119634,-0.001102499,0.005751424,-0.012764061,-0.004817378,-0.001102159,0.002582633,0.009938172,8.32E-05
v_stim_weight_subj.374844073,-0.00020454,0.005430614,-0.011108639,-0.003806099,-0.000139818,0.003358959,0.010668439,8.06E-05
v_stim_weight_subj.374999420,0.000755078,0.005229482,-0.009683161,-0.002758657,0.00070266,0.004194167,0.011047038,7.46E-05
v_stim_weight_subj.394422911,0.004030488,0.005249053,-0.006097499,0.000560994,0.003960023,0.007499423,0.014390087,0.000103015
v_stim_weight_subj.396122776,-0.003356091,0.005205559,-0.013750601,-0.006750222,-0.003285905,0.000120807,0.006536198,9.12E-05
v_stim_weight_subj.408368411,0.00057283,0.006294841,-0.012142139,-0.003410881,0.000519901,0.004479563,0.013361174,9.29E-05
v_stim_weight_subj.432332461,0.000956257,0.006378158,-0.011602199,-0.003143693,0.000898773,0.005120117,0.013543748,0.000106244
v_stim_weight_subj.433311086,-0.005746761,0.005343981,-0.016552074,-0.009307443,-0.00550106,-0.002043522,0.004165737,0.000104385
v_stim_weight_subj.446421117,-0.001466409,0.006618999,-0.014649861,-0.005684815,-0.001433639,0.002858174,0.011614307,9.38E-05
v_stim_weight_subj.449943813,-0.006628598,0.005585984,-0.017807507,-0.010289262,-0.006388902,-0.002890013,0.003796875,0.000126482
v_stim_weight_subj.452249694,0.003162474,0.005100586,-0.006304731,-0.000224936,0.002988392,0.006461441,0.013286941,9.76E-05
v_stim_weight_subj.455194813,0.002757277,0.005855265,-0.008441002,-0.001074306,0.002514764,0.006470729,0.0149578,0.000114732
v_stim_weight_subj.455717130,-0.004089715,0.004491669,-0.013117295,-0.007081491,-0.00401013,-0.001081721,0.0047143,8.06E-05
v_stim_weight_subj.492518259,0.001728145,0.005501088,-0.008796884,-0.001911911,0.001569814,0.005233908,0.01294857,9.67E-05
v_stim_weight_subj.502901314,0.005737024,0.00532707,-0.004236162,0.002028721,0.005609477,0.009160638,0.016522743,0.000125409
v_stim_weight_subj.504663288,0.000669475,0.004908226,-0.008974617,-0.002618968,0.000675228,0.003946771,0.010292297,0.000113655
v_stim_weight_subj.507157861,-0.00149029,0.00626001,-0.014332931,-0.005502069,-0.001377679,0.002620954,0.010891769,9.44E-05
v_stim_weight_subj.507740391,0.001674715,0.005302454,-0.008558788,-0.00177649,0.001682767,0.005148202,0.012107764,8.69E-05
v_stim_weight_subj.514268702,0.002136936,0.006288529,-0.009791878,-0.002112983,0.001857142,0.006221301,0.015103099,0.000111825
v_stim_weight_subj.522579064,-0.001725475,0.005680043,-0.013253775,-0.005452057,-0.001706101,0.002006262,0.009482814,8.72E-05
v_stim_weight_subj.534449063,-0.001595752,0.005308567,-0.012018979,-0.005055313,-0.001551711,0.00189445,0.008809338,8.81E-05
v_stim_weight_subj.539422517,-0.005004055,0.006069367,-0.017667545,-0.008840169,-0.004788884,-0.000924614,0.006581175,0.000148815
v_stim_weight_subj.546064836,0.001688575,0.006044749,-0.009428595,-0.002357245,0.001522483,0.005578549,0.014168342,9.73E-05
v_stim_weight_subj.561564728,0.00346838,0.005603278,-0.007013132,-0.000345372,0.003295765,0.00722783,0.015030599,0.000112082
v_stim_weight_subj.563121476,0.000748536,0.006591185,-0.012335412,-0.003355502,0.000694262,0.004816865,0.014004494,0.000110508
v_stim_weight_subj.578711405,-0.002639597,0.006514323,-0.016119586,-0.006800139,-0.002458001,0.001732337,0.0097224,0.000100745
v_stim_weight_subj.584470675,0.003467868,0.005434284,-0.006695297,-0.000292892,0.003280659,0.006907628,0.014547628,0.000100731
v_stim_weight_subj.586071473,-0.006606152,0.005491199,-0.017924982,-0.01012263,-0.006474907,-0.002878754,0.003569653,0.000133027
v_stim_weight_subj.589703985,-0.000650038,0.00638266,-0.013181317,-0.004886234,-0.000712192,0.003443146,0.011946895,9.82E-05
v_stim_weight_subj.605713945,0.000753502,0.006442586,-0.011872146,-0.003495349,0.000631851,0.004928168,0.013843916,9.09E-05
v_stim_weight_subj.626227255,-0.001933587,0.005367049,-0.012671916,-0.005402628,-0.001810822,0.001608101,0.008643194,7.73E-05
v_stim_weight_subj.628308431,0.003068309,0.005471919,-0.007439026,-0.000680404,0.002958067,0.006551518,0.014450595,0.000100626
v_stim_weight_subj.630235377,-0.001554055,0.00597183,-0.013532454,-0.005351982,-0.001540791,0.002400521,0.010409423,8.96E-05
v_stim_weight_subj.642346147,-0.000814178,0.00654445,-0.01368087,-0.004937274,-0.000924494,0.003410644,0.01227339,9.17E-05
v_stim_weight_subj.650974545,-0.001608185,0.005930364,-0.013759081,-0.005462198,-0.00154403,0.002237378,0.009931635,9.55E-05
v_stim_weight_subj.652231699,-0.002624349,0.005611739,-0.013910694,-0.006173017,-0.00253288,0.001020169,0.008221704,9.89E-05
v_stim_weight_subj.657894484,-0.001925201,0.005025423,-0.011852164,-0.00518581,-0.001890799,0.001433117,0.008094607,9.96E-05
v_stim_weight_subj.664438269,0.001328619,0.005350905,-0.008897715,-0.002260459,0.001217243,0.004740691,0.012418795,9.30E-05
v_stim_weight_subj.673728725,-0.00115412,0.004951243,-0.010727005,-0.004435585,-0.001191982,0.002150543,0.008741798,7.04E-05
v_stim_weight_subj.683861923,-0.004780341,0.006028808,-0.017404066,-0.008488178,-0.004511693,-0.000743431,0.006377023,0.000116252
v_stim_weight_subj.696039965,-0.006565046,0.004952166,-0.016585155,-0.00981771,-0.006350624,-0.003178423,0.002746857,0.000107374
v_stim_weight_subj.716236442,-0.003028034,0.005007833,-0.013364173,-0.006373249,-0.002841215,0.000399894,0.006443482,9.24E-05
v_stim_weight_subj.717256200,-0.008040013,0.005171649,-0.018829705,-0.011390444,-0.007849043,-0.004499188,0.00141909,0.000125887
v_stim_weight_subj.718176674,0.001110436,0.006013422,-0.010322502,-0.002861926,0.00093419,0.005021435,0.013302591,0.000102027
v_stim_weight_subj.720435955,-0.004958123,0.005164277,-0.015323808,-0.008284034,-0.004878342,-0.001529535,0.005083493,0.000100261
v_stim_weight_subj.733093513,0.001124219,0.005376939,-0.009194697,-0.002442064,0.000990441,0.004564565,0.011993145,9.55E-05
v_stim_weight_subj.749079099,0.002857387,0.006089907,-0.008946003,-0.00127904,0.002794539,0.006749362,0.015105022,0.000117687
v_stim_weight_subj.755075290,4.35E-05,0.006717626,-0.013440062,-0.004275568,1.92E-05,0.004204418,0.013784909,0.000110025
v_stim_weight_subj.770588123,-0.000595398,0.005591181,-0.011955564,-0.004220334,-0.000507678,0.003079139,0.01016086,8.93E-05
v_stim_weight_subj.778697233,-0.002464828,0.005611355,-0.013770537,-0.006105234,-0.002444269,0.001327568,0.008580533,8.46E-05
v_stim_weight_subj.779970594,-0.002072758,0.006245707,-0.014669495,-0.006272978,-0.001985161,0.00209961,0.009948559,0.000101818
v_stim_weight_subj.789515489,-0.002733741,0.004921649,-0.01247273,-0.00601483,-0.002642319,0.000453027,0.006978486,8.13E-05
v_stim_weight_subj.796639530,0.003328268,0.006226511,-0.008260885,-0.000930105,0.003079104,0.007202347,0.015990019,0.000132785
v_stim_weight_subj.815555952,-0.00791669,0.006550515,-0.021657935,-0.01215417,-0.007695554,-0.003525591,0.004626725,0.000178638
v_stim_weight_subj.828632181,-0.002119094,0.006553832,-0.015635111,-0.006143973,-0.002075495,0.002105847,0.010895163,0.000104911
v_stim_weight_subj.840480197,0.000262948,0.006559247,-0.012499452,-0.004029026,0.000139951,0.004446642,0.013817128,0.000109614
v_stim_weight_subj.846755060,0.003377183,0.005768608,-0.007159429,-0.000456681,0.003204595,0.007096812,0.015078342,0.000113987
v_stim_weight_subj.860810996,0.000375442,0.005472233,-0.010347967,-0.00317663,0.000370488,0.003904567,0.01117763,9.09E-05
v_stim_weight_subj.874342939,-0.002371643,0.005325539,-0.01321753,-0.005774825,-0.002325409,0.00119377,0.008014381,8.37E-05
v_stim_weight_subj.885985637,0.001264916,0.006750586,-0.011502336,-0.003033536,0.001003697,0.005341296,0.015156954,0.00011431
v_stim_weight_subj.889540573,-0.000225702,0.006701586,-0.01339412,-0.004608421,-0.000388067,0.003998003,0.013283904,9.81E-05
v_stim_weight_subj.891299842,-0.00565791,0.005179479,-0.016531011,-0.008995801,-0.005484467,-0.002124802,0.004050481,0.000111908
v_stim_weight_subj.894143700,-0.008174917,0.005596306,-0.019666798,-0.011632247,-0.007983461,-0.004443515,0.002317417,0.000136644
v_stim_weight_subj.904039471,-0.001684222,0.006649023,-0.015170259,-0.005861205,-0.001704183,0.002637552,0.011222207,0.000106495
v_stim_weight_subj.909861321,-0.003044691,0.005516015,-0.013986543,-0.00661287,-0.003028329,0.00061698,0.007632549,9.50E-05
v_stim_weight_subj.910114803,0.003016637,0.005227747,-0.007021697,-0.000521579,0.002932973,0.006456719,0.013512642,0.000100222
v_stim_weight_subj.911960296,-0.000428643,0.006078051,-0.0123764,-0.004353575,-0.000413219,0.003457243,0.011941341,8.81E-05
v_stim_weight_subj.923162466,0.003719764,0.00616261,-0.00773433,-0.000480972,0.003403933,0.007732642,0.016845573,0.000121958
v_stim_weight_subj.931420970,0.004899665,0.005469485,-0.005154714,0.001135791,0.004732892,0.008431222,0.016065052,0.000115656
v_stim_weight_subj.933260573,-0.009413801,0.005676697,-0.020971224,-0.013085273,-0.009114248,-0.005491256,0.00110456,0.000150688
v_stim_weight_subj.945098209,-0.005237363,0.006079611,-0.017877555,-0.009021872,-0.004946286,-0.001117454,0.006173576,0.000125685
v_stim_weight_subj.949645864,-0.002287409,0.006321384,-0.015356368,-0.006360064,-0.002176219,0.00188122,0.010106709,0.000106295
v_stim_weight_subj.949879914,-0.002313711,0.006163594,-0.014749183,-0.006252251,-0.002134106,0.001723803,0.009730861,9.00E-05
v_stim_weight_subj.956660069,-0.002034786,0.00619935,-0.014489089,-0.00609245,-0.001937424,0.002075084,0.010118581,0.000102756
v_stim_weight_subj.961875421,0.004026283,0.005395816,-0.006166464,0.00046351,0.003814691,0.007405783,0.015410818,0.000106306
v_stim_weight_subj.964326783,0.003719446,0.006644039,-0.008901439,-0.000828828,0.003580353,0.007940944,0.017030557,0.000153032
v_stim_weight_subj.968634301,-0.001995648,0.005256621,-0.012473066,-0.005411973,-0.001963623,0.001450152,0.008560759,9.17E-05
v_stim_weight_subj.971172922,-0.001467858,0.006676967,-0.015071127,-0.005676473,-0.001433625,0.002890125,0.011556627,0.000102189
v_stim_weight_subj.977170877,-0.000780083,0.005528098,-0.01151547,-0.004473076,-0.000774777,0.002867778,0.010504917,7.94E-05
v_stim_weight_subj.979660929,0.004495376,0.005203177,-0.005235313,0.000941058,0.004265287,0.007910624,0.015364388,0.000107164
v_stim_weight_subj.984661157,-0.001877577,0.006064936,-0.013818552,-0.005756151,-0.001848189,0.002083564,0.010041078,9.17E-05
v_stim_weight_subj.985750851,-0.004557907,0.005903825,-0.016635685,-0.008371609,-0.004470993,-0.000534083,0.006316633,0.000123468
